Ano,Código do Município,Nome do Município,"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2015,4314902,Porto Alegre," 68,132,502 "," 46,133.13 "
2014,1302603,Manaus," 67,418,894 "," 33,370.72 "
2019,2304400,Fortaleza," 67,401,430 "," 25,250.20 "
2015,1302603,Manaus," 67,076,904 "," 32,597.83 "
2018,2304400,Fortaleza," 66,381,302 "," 25,113.54 "
2011,3106200,Belo Horizonte," 66,315,192 "," 27,797.65 "
2011,4106902,Curitiba," 65,924,883 "," 37,360.92 "
2015,3534401,Osasco," 65,912,985 "," 94,860.12 "
2020,3518800,Guarulhos," 65,849,311 "," 47,301.43 "
2019,3509502,Campinas," 65,837,258 "," 54,678.79 "
2020,3509502,Campinas," 65,419,717 "," 53,896.97 "
2020,2304400,Fortaleza," 65,160,893 "," 24,253.93 "
2019,3518800,Guarulhos," 65,153,543 "," 47,240.71 "
2014,4314902,Porto Alegre," 63,989,576 "," 43,456.95 "
2019,2927408,Salvador," 63,902,294 "," 22,247.41 "
2013,1302603,Manaus," 63,829,864 "," 32,201.90 "
2018,2927408,Salvador," 63,534,708 "," 22,235.70 "
2017,2927408,Salvador," 62,823,699 "," 21,267.43 "
2017,2304400,Fortaleza," 61,592,347 "," 23,441.59 "
2018,3509502,Campinas," 61,388,555 "," 51,410.15 "
2018,3518800,Guarulhos," 61,323,416 "," 44,896.01 "
2016,2927408,Salvador," 61,168,158 "," 20,819.01 "
2014,3534401,Osasco," 60,834,520 "," 87,749.98 "
2016,2304400,Fortaleza," 60,088,001 "," 23,024.73 "
2012,3301009,Campos dos Goytacazes," 59,530,941 "," 126,044.76 "
2010,3106200,Belo Horizonte," 59,203,074 "," 24,922.95 "
2020,2927408,Salvador," 58,938,115 "," 20,417.14 "
2017,3509502,Campinas," 58,469,540 "," 49,448.67 "
2013,3301009,Campos dos Goytacazes," 58,372,358 "," 122,320.58 "
2010,4106902,Curitiba," 58,122,788 "," 33,272.04 "
2014,3301009,Campos dos Goytacazes," 58,004,933 "," 120,680.69 "
2013,4314902,Porto Alegre," 57,920,358 "," 39,460.23 "
2015,2927408,Salvador," 57,918,103 "," 19,827.59 "
2016,3509502,Campinas," 57,778,152 "," 49,241.20 "
2015,2304400,Fortaleza," 57,211,200 "," 22,079.14 "
2015,3509502,Campinas," 57,154,532 "," 49,097.70 "
2014,2927408,Salvador," 56,551,329 "," 19,480.80 "
2014,2304400,Fortaleza," 56,116,644 "," 21,819.17 "
2017,3518800,Guarulhos," 55,632,735 "," 41,236.53 "
2012,1302603,Manaus," 55,551,838 "," 29,837.10 "
2011,1302603,Manaus," 55,528,640 "," 30,303.38 "
2019,2611606,Recife," 54,688,386 "," 33,230.53 "
2014,3509502,Campinas," 54,639,012 "," 47,322.20 "
2013,3509502,Campinas," 54,363,858 "," 47,485.07 "
2013,3534401,Osasco," 54,335,845 "," 78,559.51 "
2012,4314902,Porto Alegre," 54,204,832 "," 38,260.96 "
2013,2927408,Salvador," 53,471,659 "," 18,542.84 "
2015,3518800,Guarulhos," 53,209,582 "," 40,164.81 "
2019,5208707,Goiânia," 53,152,445 "," 35,058.37 "
2016,3518800,Guarulhos," 53,095,485 "," 39,709.82 "
2019,3505708,Barueri," 52,744,931 "," 192,371.97 "
2014,3518800,Guarulhos," 52,556,186 "," 40,052.05 "
2018,2611606,Recife," 52,404,684 "," 31,996.33 "
2020,5208707,Goiânia," 51,961,311 "," 33,826.84 "
2017,2611606,Recife," 51,839,333 "," 31,731.30 "
2020,3505708,Barueri," 51,254,572 "," 185,046.58 "
2020,3525904,Jundiaí," 51,235,050 "," 121,121.33 "
2011,3301009,Campos dos Goytacazes," 51,026,659 "," 109,011.06 "
2019,3548708,São Bernardo do Campo," 51,011,495 "," 60,804.99 "
2018,3548708,São Bernardo do Campo," 50,563,912 "," 60,683.49 "
2018,3505708,Barueri," 50,562,704 "," 186,367.81 "
2014,2611606,Recife," 50,515,887 "," 31,405.82 "
2020,2611606,Recife," 50,311,002 "," 30,427.69 "
2010,1302603,Manaus," 50,168,821 "," 27,832.52 "
2012,3534401,Osasco," 50,059,468 "," 74,841.07 "
2013,2304400,Fortaleza," 49,758,763 "," 19,499.43 "
2016,2611606,Recife," 49,405,397 "," 30,392.42 "
2018,5208707,Goiânia," 49,347,603 "," 32,992.87 "
2017,5208707,Goiânia," 49,049,178 "," 33,455.43 "
2013,3548708,São Bernardo do Campo," 48,789,309 "," 60,540.53 "
2020,3548708,São Bernardo do Campo," 48,614,342 "," 57,566.99 "
2012,3509502,Campinas," 48,438,677 "," 44,090.07 "
2011,4314902,Porto Alegre," 48,288,171 "," 34,171.95 "
2015,2611606,Recife," 48,059,861 "," 29,718.26 "
2012,2927408,Salvador," 47,940,350 "," 17,683.85 "
2013,3518800,Guarulhos," 47,846,350 "," 36,826.16 "
2015,3505708,Barueri," 47,761,025 "," 182,102.85 "
2017,3505708,Barueri," 47,741,849 "," 178,451.52 "
2011,3534401,Osasco," 47,614,554 "," 71,297.84 "
2014,3548708,São Bernardo do Campo," 47,465,766 "," 58,492.19 "
2020,3301702,Duque de Caxias," 47,153,673 "," 50,997.67 "
2016,3505708,Barueri," 47,063,173 "," 177,640.45 "
2019,3525904,Jundiaí," 46,959,283 "," 112,084.83 "
2013,2611606,Recife," 46,771,183 "," 29,240.89 "
2015,5208707,Goiânia," 46,631,191 "," 32,593.34 "
2016,5208707,Goiânia," 46,612,711 "," 32,176.90 "
2019,3303302,Niterói," 46,549,869 "," 90,637.30 "
2011,3548708,São Bernardo do Campo," 46,490,389 "," 60,357.30 "
2014,5208707,Goiânia," 46,209,730 "," 32,718.00 "
2012,2304400,Fortaleza," 45,775,429 "," 18,308.75 "
2014,3505708,Barueri," 45,571,482 "," 175,575.43 "
2019,3301702,Duque de Caxias," 45,373,762 "," 49,340.97 "
2012,3548708,São Bernardo do Campo," 45,300,599 "," 58,460.99 "
2011,3509502,Campinas," 44,613,748 "," 40,915.55 "
2017,3548708,São Bernardo do Campo," 44,433,140 "," 53,699.73 "
2011,2927408,Salvador," 44,316,152 "," 16,452.35 "
2013,3505708,Barueri," 43,865,631 "," 170,845.59 "
2018,3525904,Jundiaí," 43,630,306 "," 105,181.42 "
2019,3549904,São José dos Campos," 43,562,280 "," 60,340.25 "
2010,3534401,Osasco," 43,499,785 "," 65,269.03 "
2016,3548708,São Bernardo do Campo," 43,222,829 "," 52,567.04 "
2012,2611606,Recife," 42,890,606 "," 27,581.69 "
2010,4314902,Porto Alegre," 42,724,992 "," 30,302.72 "
2010,3548708,São Bernardo do Campo," 42,557,432 "," 55,615.87 "
2012,3518800,Guarulhos," 42,426,241 "," 34,090.50 "
2015,3548708,São Bernardo do Campo," 42,013,775 "," 51,429.17 "
2016,3549904,São José dos Campos," 41,630,243 "," 59,814.25 "
2018,3301702,Duque de Caxias," 41,581,757 "," 45,475.21 "
2016,3301702,Duque de Caxias," 41,539,673 "," 46,836.03 "
2011,2304400,Fortaleza," 41,394,561 "," 16,714.34 "
2017,3525904,Jundiaí," 41,084,447 "," 100,329.06 "
2020,3303302,Niterói," 40,949,495 "," 79,464.67 "
2017,3301702,Duque de Caxias," 40,904,756 "," 45,908.97 "
2010,2927408,Salvador," 40,762,687 "," 15,229.24 "
2018,3303302,Niterói," 40,376,961 "," 78,894.23 "
2016,3525904,Jundiaí," 40,317,016 "," 99,366.63 "
2013,5208707,Goiânia," 40,182,654 "," 28,834.22 "
2018,3549904,São José dos Campos," 39,694,815 "," 55,599.42 "
2012,3505708,Barueri," 39,566,466 "," 161,067.15 "
2017,3549904,São José dos Campos," 39,396,425 "," 56,022.98 "
2020,3549904,São José dos Campos," 39,148,012 "," 53,646.74 "
2011,3518800,Guarulhos," 39,082,624 "," 31,685.98 "
2015,3525904,Jundiaí," 39,080,475 "," 97,240.27 "
2014,3525904,Jundiaí," 39,006,820 "," 98,015.70 "
2010,3301009,Campos dos Goytacazes," 38,684,389 "," 83,453.36 "
2020,3536505,Paulínia," 38,572,766 "," 344,390.47 "
2010,3509502,Campinas," 38,195,022 "," 35,333.08 "
2020,1505536,Parauapebas," 38,014,863 "," 177,992.21 "
2019,3170206,Uberlândia," 37,638,742 "," 54,445.93 "
2020,3170206,Uberlândia," 37,631,537 "," 53,828.78 "
2011,2611606,Recife," 37,630,879 "," 24,332.68 "
2019,3302700,Maricá," 37,524,886 "," 232,774.55 "
2018,3170206,Uberlândia," 37,513,607 "," 54,904.90 "
2012,5208707,Goiânia," 37,465,633 "," 28,090.09 "
2019,3536505,Paulínia," 37,366,101 "," 341,479.94 "
2019,3552205,Sorocaba," 37,272,884 "," 54,863.25 "
2010,2304400,Fortaleza," 37,001,831 "," 15,118.78 "
2020,3552205,Sorocaba," 36,723,769 "," 53,427.50 "
2016,3536505,Paulínia," 36,499,593 "," 364,529.33 "
2020,4209102,Joinville," 36,391,912 "," 60,890.86 "
2010,3518800,Guarulhos," 35,671,510 "," 29,182.56 "
2020,3302700,Maricá," 35,618,327 "," 216,519.52 "
2017,3536505,Paulínia," 35,540,436 "," 346,739.34 "
2019,3543402,Ribeirão Preto," 35,444,536 "," 50,397.96 "
2015,3301702,Duque de Caxias," 35,294,440 "," 39,983.32 "
2020,3543402,Ribeirão Preto," 35,218,869 "," 49,476.86 "
2018,3552205,Sorocaba," 35,008,761 "," 52,159.55 "
2019,4209102,Joinville," 34,527,324 "," 58,474.70 "
2011,3505708,Barueri," 34,462,704 "," 141,680.73 "
2013,3525904,Jundiaí," 34,448,150 "," 87,449.61 "
2018,3543402,Ribeirão Preto," 34,323,817 "," 49,419.92 "
2017,3170206,Uberlândia," 34,211,313 "," 50,562.60 "
2015,3301009,Campos dos Goytacazes," 34,158,330 "," 70,579.44 "
2015,3549904,São José dos Campos," 33,889,622 "," 49,215.47 "
2018,2111300,São Luís," 33,577,348 "," 30,673.57 "
2010,2611606,Recife," 33,369,681 "," 21,711.85 "
2011,5208707,Goiânia," 33,181,664 "," 25,172.92 "
2020,4208203,Itajaí," 33,084,145 "," 148,284.92 "
2020,2111300,São Luís," 33,074,010 "," 29,823.95 "
2017,3543402,Ribeirão Preto," 32,670,177 "," 47,882.28 "
2018,3536505,Paulínia," 32,658,835 "," 305,863.07 "
2016,3170206,Uberlândia," 32,553,439 "," 48,611.02 "
2019,1501402,Belém," 32,372,971 "," 21,686.87 "
2018,3301009,Campos dos Goytacazes," 32,338,283 "," 64,236.67 "
2017,3552205,Sorocaba," 32,115,160 "," 48,668.85 "
2019,2111300,São Luís," 32,102,448 "," 29,134.14 "
2018,1501402,Belém," 31,479,272 "," 21,187.72 "
2020,1501402,Belém," 30,835,763 "," 20,562.10 "
2018,4209102,Joinville," 30,795,490 "," 52,809.41 "
2015,3552205,Sorocaba," 30,783,531 "," 47,732.40 "
2012,3525904,Jundiaí," 30,683,516 "," 81,349.15 "
2016,3552205,Sorocaba," 30,530,267 "," 46,791.04 "
2019,3118601,Contagem," 30,446,854 "," 45,863.71 "
2014,3549904,São José dos Campos," 30,343,668 "," 44,555.16 "
2019,3547809,Santo André," 30,316,632 "," 42,178.31 "
2017,1501402,Belém," 30,244,780 "," 20,825.79 "
2019,5002704,Campo Grande," 30,221,880 "," 33,730.45 "
2020,5002704,Campo Grande," 30,121,789 "," 33,243.63 "
2016,3543402,Ribeirão Preto," 30,035,542 "," 44,536.36 "
2010,3505708,Barueri," 30,018,704 "," 124,736.99 "
2019,4125506,São José dos Pinhais," 29,958,698 "," 92,653.86 "
2017,2111300,São Luís," 29,846,794 "," 27,335.53 "
2014,3552205,Sorocaba," 29,580,569 "," 46,423.69 "
2020,3118601,Contagem," 29,558,094 "," 44,185.87 "
2015,3170206,Uberlândia," 29,472,293 "," 44,495.75 "
2016,1501402,Belém," 29,466,894 "," 20,377.62 "
2020,3547809,Santo André," 29,440,477 "," 40,812.01 "
2013,3552205,Sorocaba," 29,354,936 "," 46,652.08 "
2015,1501402,Belém," 29,215,036 "," 20,294.41 "
2018,5002704,Campo Grande," 29,176,930 "," 32,941.82 "
2019,3301009,Campos dos Goytacazes," 29,136,988 "," 57,407.36 "
2010,5208707,Goiânia," 29,038,011 "," 22,304.47 "
2017,3118601,Contagem," 28,995,183 "," 44,026.82 "
2018,3547809,Santo André," 28,994,083 "," 40,488.37 "
2014,3301702,Duque de Caxias," 28,862,819 "," 32,858.33 "
2014,1501402,Belém," 28,687,488 "," 20,021.36 "
2014,3170206,Uberlândia," 28,390,937 "," 43,366.06 "
2016,2111300,São Luís," 28,350,665 "," 26,179.47 "
2013,3549904,São José dos Campos," 28,290,100 "," 42,019.89 "
2019,4208203,Itajaí," 28,209,752 "," 128,497.16 "
2019,3106705,Betim," 28,031,826 "," 63,804.40 "
2019,3538709,Piracicaba," 27,875,682 "," 68,974.97 "
2017,3547809,Santo André," 27,869,136 "," 38,965.22 "
2018,3118601,Contagem," 27,820,452 "," 42,211.68 "
2015,3543402,Ribeirão Preto," 27,735,074 "," 41,624.07 "
2017,3303302,Niterói," 27,489,576 "," 55,086.24 "
2017,4209102,Joinville," 27,388,124 "," 47,460.09 "
2014,2111300,São Luís," 27,308,046 "," 25,660.71 "
2020,3538709,Piracicaba," 27,172,817 "," 66,722.37 "
2013,1501402,Belém," 27,139,286 "," 19,032.80 "
2017,5002704,Campo Grande," 27,042,476 "," 30,933.62 "
2018,3302700,Maricá," 26,982,734 "," 171,005.17 "
2019,4305108,Caxias do Sul," 26,871,811 "," 52,596.39 "
2016,3547809,Santo André," 26,837,380 "," 37,653.34 "
2015,2111300,São Luís," 26,798,107 "," 24,954.17 "
2014,3543402,Ribeirão Preto," 26,785,870 "," 40,704.36 "
2014,3547809,Santo André," 26,741,456 "," 37,791.08 "
2013,3547809,Santo André," 26,721,759 "," 37,906.32 "
2012,3549904,São José dos Campos," 26,584,749 "," 41,306.13 "
2011,3525904,Jundiaí," 26,571,865 "," 71,102.33 "
2015,4209102,Joinville," 26,552,124 "," 47,233.08 "
2020,5103403,Cuiabá," 26,528,839 "," 42,918.31 "
2016,3118601,Contagem," 26,490,561 "," 40,517.84 "
2014,3118601,Contagem," 26,437,650 "," 41,085.68 "
2018,3538709,Piracicaba," 26,415,203 "," 65,881.70 "
2012,1501402,Belém," 26,362,015 "," 18,690.76 "
2020,3106705,Betim," 26,185,005 "," 58,871.28 "
2015,3118601,Contagem," 26,028,295 "," 40,119.70 "
2012,3552205,Sorocaba," 25,969,689 "," 43,232.95 "
2020,4305108,Caxias do Sul," 25,965,161 "," 50,178.98 "
2010,3549904,São José dos Campos," 25,848,130 "," 41,189.35 "
2013,3170206,Uberlândia," 25,718,586 "," 39,770.62 "
2020,2905701,Camaçari," 25,697,266 "," 84,446.59 "
2011,3549904,São José dos Campos," 25,518,740 "," 40,068.62 "
2018,3205309,Vitória," 25,518,127 "," 71,226.56 "
2015,3303302,Niterói," 25,496,901 "," 51,333.01 "
2015,3536505,Paulínia," 25,492,565 "," 260,921.63 "
2018,4208203,Itajaí," 25,490,826 "," 118,070.48 "
2018,3106705,Betim," 25,476,143 "," 58,894.16 "
2020,3205309,Vitória," 25,473,898 "," 69,628.40 "
2016,5002704,Campo Grande," 25,451,899 "," 29,458.83 "
2015,3547809,Santo André," 25,386,941 "," 35,745.68 "
2016,4209102,Joinville," 25,236,074 "," 44,301.41 "
2013,4125506,São José dos Pinhais," 25,207,296 "," 87,588.59 "
2016,3106705,Betim," 25,156,240 "," 59,561.98 "
2014,4209102,Joinville," 25,136,137 "," 45,322.92 "
2020,3205002,Serra," 25,079,657 "," 47,567.82 "
2018,3205002,Serra," 25,025,755 "," 49,302.31 "
2013,3543402,Ribeirão Preto," 24,905,981 "," 38,343.08 "
2013,3301702,Duque de Caxias," 24,855,259 "," 28,441.08 "
2018,4305108,Caxias do Sul," 24,770,075 "," 49,140.25 "
2014,3303302,Niterói," 24,642,144 "," 49,734.89 "
2019,5103403,Cuiabá," 24,615,163 "," 40,184.94 "
2011,3205309,Vitória," 24,454,225 "," 73,985.78 "
2013,3118601,Contagem," 24,358,358 "," 38,181.58 "
2012,3205309,Vitória," 24,322,121 "," 73,003.89 "
2019,3205002,Serra," 24,321,132 "," 46,996.45 "
2015,5002704,Campo Grande," 24,200,572 "," 28,350.46 "
2019,2408102,Natal," 24,139,377 "," 27,303.22 "
2019,2905701,Camaçari," 24,120,937 "," 80,636.43 "
2018,4125506,São José dos Pinhais," 24,107,191 "," 75,933.90 "
2018,5103403,Cuiabá," 24,039,567 "," 39,593.92 "
2015,3106705,Betim," 23,904,474 "," 57,282.70 "
2012,3547809,Santo André," 23,842,988 "," 35,037.66 "
2020,3301009,Campos dos Goytacazes," 23,841,837 "," 46,641.88 "
2018,2905701,Camaçari," 23,831,705 "," 81,136.67 "
2014,5002704,Campo Grande," 23,823,064 "," 28,255.84 "
2017,3538709,Piracicaba," 23,719,579 "," 59,698.63 "
2019,3205309,Vitória," 23,656,637 "," 65,332.32 "
2017,2408102,Natal," 23,458,658 "," 26,501.57 "
2014,3205309,Vitória," 23,438,119 "," 66,565.90 "
2010,3106705,Betim," 23,384,913 "," 61,939.08 "
2018,2408102,Natal," 23,372,340 "," 26,630.90 "
2019,2704302,Maceió," 23,367,034 "," 22,932.51 "
2017,5103403,Cuiabá," 23,307,786 "," 39,496.82 "
2010,3525904,Jundiaí," 23,155,495 "," 62,539.99 "
2013,2111300,São Luís," 23,134,440 "," 21,950.81 "
2010,3301702,Duque de Caxias," 23,107,679 "," 27,025.07 "
2017,3106705,Betim," 23,091,961 "," 54,061.05 "
2015,3205309,Vitória," 23,060,736 "," 64,800.10 "
2016,3303302,Niterói," 23,019,309 "," 46,234.37 "
2019,1505536,Parauapebas," 23,001,043 "," 110,436.99 "
2011,3552205,Sorocaba," 22,985,028 "," 38,709.93 "
2017,2905701,Camaçari," 22,974,401 "," 77,382.77 "
2020,2704302,Maceió," 22,872,756 "," 22,307.05 "
2012,3170206,Uberlândia," 22,837,278 "," 36,861.91 "
2015,4125506,São José dos Pinhais," 22,807,863 "," 76,563.43 "
2019,3548500,Santos," 22,750,571 "," 52,504.02 "
2014,4125506,São José dos Pinhais," 22,736,762 "," 77,617.36 "
2020,2408102,Natal," 22,729,773 "," 25,525.30 "
2012,2111300,São Luís," 22,677,841 "," 21,813.80 "
2017,4125506,São José dos Pinhais," 22,592,708 "," 73,465.06 "
2012,3118601,Contagem," 22,576,505 "," 36,780.63 "
2020,1502152,Canaã dos Carajás," 22,522,725 "," 591,101.11 "
2018,3548500,Santos," 22,473,309 "," 51,906.56 "
2014,4305108,Caxias do Sul," 22,421,400 "," 47,682.48 "
2017,3548500,Santos," 22,410,299 "," 51,548.50 "
2018,2704302,Maceió," 22,397,272 "," 22,123.34 "
2014,3106705,Betim," 22,302,009 "," 54,130.70 "
2012,4125506,São José dos Pinhais," 22,271,624 "," 81,504.91 "
2013,3205309,Vitória," 22,249,693 "," 63,886.70 "
2011,3301702,Duque de Caxias," 22,237,127 "," 25,822.35 "
2016,5103403,Cuiabá," 22,215,196 "," 37,950.89 "
2014,3538709,Piracicaba," 22,114,033 "," 56,934.48 "
2020,3548500,Santos," 22,073,535 "," 50,901.03 "
2013,4209102,Joinville," 22,049,703 "," 40,311.64 "
2019,2211001,Teresina," 22,007,482 "," 25,446.74 "
2013,3106705,Betim," 22,006,690 "," 54,140.46 "
2020,4125506,São José dos Pinhais," 21,975,612 "," 66,783.40 "
2019,4205407,Florianópolis," 21,966,053 "," 43,846.78 "
2016,2905701,Camaçari," 21,964,987 "," 75,203.50 "
2017,4208203,Itajaí," 21,932,201 "," 103,154.53 "
2016,2408102,Natal," 21,861,053 "," 24,908.28 "
2012,3543402,Ribeirão Preto," 21,854,359 "," 35,263.41 "
2017,2704302,Maceió," 21,841,866 "," 21,223.64 "
2011,3106705,Betim," 21,835,766 "," 56,927.57 "
2016,3538709,Piracicaba," 21,824,203 "," 55,332.53 "
2017,4305108,Caxias do Sul," 21,811,857 "," 45,123.90 "
2011,3547809,Santo André," 21,740,849 "," 32,043.18 "
2020,4113700,Londrina," 21,729,852 "," 37,766.29 "
2016,3205309,Vitória," 21,721,213 "," 60,411.38 "
2016,3548500,Santos," 21,708,055 "," 49,977.22 "
2012,3106705,Betim," 21,652,010 "," 55,678.87 "
2019,4113700,Londrina," 21,591,521 "," 37,897.61 "
2020,2211001,Teresina," 21,578,875 "," 24,858.31 "
2012,3301702,Duque de Caxias," 21,548,905 "," 24,852.64 "
2011,1501402,Belém," 21,426,847 "," 15,282.45 "
2014,3302403,Macaé," 21,419,170 "," 93,279.32 "
2013,4305108,Caxias do Sul," 21,396,940 "," 45,984.86 "
2020,4205407,Florianópolis," 21,312,447 "," 41,885.53 "
2016,2704302,Maceió," 21,305,268 "," 20,852.58 "
2015,3538709,Piracicaba," 21,294,814 "," 54,399.97 "
2015,5103403,Cuiabá," 21,226,684 "," 36,566.90 "
2010,3205309,Vitória," 21,183,940 "," 65,090.63 "
2017,3301009,Campos dos Goytacazes," 21,110,490 "," 43,057.33 "
2018,4205407,Florianópolis," 21,059,944 "," 42,719.93 "
2011,1505536,Parauapebas," 21,013,984 "," 131,149.69 "
2018,2211001,Teresina," 20,968,077 "," 24,340.67 "
2019,2507507,João Pessoa," 20,846,014 "," 25,767.15 "
2020,3509205,Cajamar," 20,798,646 "," 266,875.13 "
2020,2507507,João Pessoa," 20,766,551 "," 25,402.17 "
2013,5002704,Campo Grande," 20,729,779 "," 24,905.06 "
2011,4125506,São José dos Pinhais," 20,709,464 "," 77,041.84 "
2015,2704302,Maceió," 20,690,141 "," 20,409.05 "
2015,4305108,Caxias do Sul," 20,633,382 "," 43,452.15 "
2015,2408102,Natal," 20,591,133 "," 23,669.22 "
2014,5103403,Cuiabá," 20,512,665 "," 35,644.44 "
2012,4209102,Joinville," 20,472,881 "," 38,896.83 "
2015,2905701,Camaçari," 20,390,421 "," 71,066.82 "
2013,3538709,Piracicaba," 20,294,828 "," 52,674.57 "
2017,3205309,Vitória," 20,252,080 "," 55,769.34 "
2011,3118601,Contagem," 20,220,913 "," 33,219.02 "
2013,1505536,Parauapebas," 20,198,715 "," 114,387.17 "
2012,4305108,Caxias do Sul," 20,150,488 "," 45,088.37 "
2016,4125506,São José dos Pinhais," 20,145,048 "," 66,538.23 "
2016,4304606,Canoas," 20,133,836 "," 58,761.93 "
2011,3543402,Ribeirão Preto," 20,127,799 "," 32,870.30 "
2016,4305108,Caxias do Sul," 20,069,797 "," 41,878.73 "
2015,3548500,Santos," 20,049,770 "," 46,201.25 "
2013,3303302,Niterói," 20,048,694 "," 40,567.98 "
2020,4115200,Maringá," 20,005,630 "," 46,507.74 "
2018,4113700,Londrina," 19,953,188 "," 35,381.57 "
2011,2111300,São Luís," 19,952,970 "," 19,420.27 "
2014,3548500,Santos," 19,931,363 "," 45,970.88 "
2018,2507507,João Pessoa," 19,810,216 "," 24,752.78 "
2017,2507507,João Pessoa," 19,740,717 "," 24,323.27 "
2020,4101804,Araucária," 19,724,416 "," 134,901.01 "
2010,3552205,Sorocaba," 19,721,441 "," 33,636.48 "
2015,3302403,Macaé," 19,671,569 "," 83,841.52 "
2019,4304606,Canoas," 19,611,051 "," 56,578.61 "
2011,3170206,Uberlândia," 19,553,210 "," 31,954.70 "
2017,4205407,Florianópolis," 19,516,694 "," 40,171.20 "
